id_ville,ville_departement,ville_slug,ville_nom,ville_nom_simple,ville_nom_reel,ville_nom_soundex,ville_nom_metaphone,ville_code_postal,ville_commune,ville_code_commune,ville_arrondissement,ville_canton,ville_amdi,ville_population_2010,ville_population_1999,ville_population_2012,ville_densite_2010,ville_surface,ville_longitude_deg,ville_latitude_deg,ville_longitude_grd,ville_latitude_grd,ville_longitude_dms,ville_latitude_dms,ville_zmin,ville_zmax
32125,79,cherveux,CHERVEUX,cherveux,Cherveux,C612,XRFKS,79410,086,79086,2,25,6,1651,1271,1600,74,22.25,-0.35,46.4167,-2993,51573,-02126,462456,46,116
32136,79,chatillon-sur-thouet,CHATILLON-SUR-THOUET,"chatillon sur thouet",Châtillon-sur-Thouet,C345263,XTLNSR0T,79200,080,79080,3,22,6,2801,2738,2800,170,16.45,-0.233333,46.65,-2856,51846,-01403,463940,117,186
32138,79,argenton-l-eglise,ARGENTON-L'EGLISE,"argenton l eglise",Argenton-l'Église,A625354242,ARJNTNLKLS,79290,014,79014,1,97,6,1632,1482,1600,63,25.86,-0.266667,47.05,-2885,52271,-01538,470238,35,82
32143,79,villiers-en-plaine,VILLIERS-EN-PLAINE,"villiers en plaine",Villiers-en-Plaine,V4625145,FLRSNPLN,79160,351,79351,2,11,6,1694,1284,1600,60,27.89,-0.533333,46.4,-3193,51565,-03214,462431,29,84
32151,79,thouars,THOUARS,thouars,Thouars,T620,0RS,79100,329,79329,1,95,5,9822,10652,9900,812,12.09,-0.216667,46.9667,-2835,52195,-01255,465830,47,117
32152,79,tallud,"LE TALLUD","le tallud","Le Tallud",L343,LTLT,79200,322,79322,3,22,6,2030,1868,2000,105,19.22,-0.3,46.6333,-2926,51812,-01748,463751,132,201
32166,79,nueil-les-aubiers,NUEIL-LES-AUBIERS,"nueil les aubiers",Nueil-les-Aubiers,N42162,NLLSBRS,79250,195,79195,1,09,6,5444,2115,5400,55,98.83,-0.59,46.9373,-3251,52153,-03524,465614,94,211
32171,79,saint-aubin-le-cloud,SAINT-AUBIN-LE-CLOUD,"saint aubin le cloud",Saint-Aubin-le-Cloud,S53154243,SNTBNLKLT,79450,239,79239,3,29,6,1760,1781,1800,42,41.83,-0.35,46.65,-2989,51835,-02113,463906,132,231
32178,79,vouille-79,VOUILLE,vouille,Vouillé,V400,FL,79230,355,79355,2,23,6,3248,2659,3100,145,22.3,-0.366667,46.3167,-2998,51463,-02143,461859,39,93
32189,79,exireuil,EXIREUIL,exireuil,Exireuil,E264,EKSRL,79400,114,79114,2,26,6,1563,1093,1500,74,21.06,-0.183333,46.4333,-2809,51593,-01130,462560,59,191
32199,79,pamproux,PAMPROUX,pamproux,Pamproux,P5162,PMPRKS,79800,201,79201,2,19,6,1678,1626,1700,46,36.3,-0.05,46.3833,-2658,51551,-00320,462345,77,183
32204,79,mauleon,MAULEON,mauleon,Mauléon,M450,MLN,79700,079,79079,1,09,5,8172,7326,8000,67,120.64,-0.748333,46.9236,-3429,52137,-04459,465522,104,226
32227,79,azay-le-brûle,AZAY-LE-BRULE,"azay le brule",Azay-le-Brûlé,A24164,ASLBRL,79400,024,79024,2,25,6,1806,1445,1800,81,22.1,-0.25,46.4,-2915,51554,-01714,462355,41,131
32228,79,bessines,BESSINES,bessines,Bessines,B252,BSNS,79000,034,79034,2,12,6,1589,1357,1600,139,11.41,-0.5,46.3,-3169,51447,-03058,461807,2,30
32229,79,saint-gelais,SAINT-GELAIS,"saint gelais",Saint-Gelais,S53242,SNTJLS,79410,249,79249,2,20,6,1743,1456,1700,106,16.4,-0.383333,46.3833,-3029,51536,-02324,462257,30,93
32238,79,sainte-verge,SAINTE-VERGE,"sainte verge",Sainte-Verge,S53162,SNTFRJ,79100,300,79300,1,32,6,1438,1329,1500,112,12.83,-0.216667,47.0167,-2832,52231,-01244,470027,39,87
32242,79,chapelle-saint-laurent,"LA CHAPELLE-SAINT-LAURENT","la chapelle saint laurent","La Chapelle-Saint-Laurent",L2142534653,LXPLSNTLRNT,79430,076,79076,3,18,6,1854,1725,1900,64,28.85,-0.483333,46.75,-3126,51940,-02836,464444,149,235
32249,79,champdeniers-saint-denis,CHAMPDENIERS-SAINT-DENIS,"champdeniers saint denis",Champdeniers-Saint-Denis,C5135625352,XMPTNRSSNTTNS,79220,066,79066,2,08,5,1675,1491,1600,76,21.81,-0.405,46.4842,-3046,51649,-02418,462903,67,171
32250,79,saint-symphorien-79,SAINT-SYMPHORIEN,"saint symphorien",Saint-Symphorien,S5325165,SNTSMFRN,79270,298,79298,2,12,6,1800,1508,1800,94,19.01,-0.5,46.2667,-3142,51404,-02930,461550,5,55
